File,CA1,PFC
S17_210407.nwb,41,75
S17_210408.nwb,59,29
S17_210409.nwb,26,41
S17_210410.nwb,41,36
S17_210412.nwb,68,34
S17_210413.nwb,69,2
S17_210414.nwb,39,12
S17_210415.nwb,56,18
S20_210509.nwb,59,0
S20_210510.nwb,49,7
S20_210511.nwb,33,0
S20_210512.nwb,52,0
S20_210513.nwb,42,0
S20_210514.nwb,46,1
S20_210516.nwb,38,78
S20_210517.nwb,81,57
S20_210518.nwb,76,33
S20_210519.nwb,72,30
S20_210520.nwb,79,37
S20_210521.nwb,78,29
S25_210906.nwb,113,39
S25_210907.nwb,91,20
S25_210908.nwb,69,32
S25_210909.nwb,38,19
S25_210910.nwb,75,29
S25_210912.nwb,42,41
S25_210913.nwb,55,44
S25_210914.nwb,50,32
S25_210915.nwb,31,0
S25_210916.nwb,56,30
S28_211112.nwb,17,29
S28_211113.nwb,74,33
S28_211114.nwb,88,54
S28_211115.nwb,70,49
S28_211116.nwb,93,51
S28_211117.nwb,85,69
S28_211118.nwb,64,47
S28_211119.nwb,0,67
S28_211120.nwb,48,52
S28_211121.nwb,44,63
S28_211122.nwb,42,50
S28_211123.nwb,24,49
S29_211104.nwb,46,70
S29_211105.nwb,55,71
S29_211106.nwb,46,71
S29_211107.nwb,55,66
S29_211108.nwb,111,45
S29_211111.nwb,88,86
S29_211114.nwb,64,67
S29_211116.nwb,51,65
S29_211118.nwb,90,52
S29_211119.nwb,82,57
S29_211122.nwb,86,49
S29_211123.nwb,41,16
S33_220420.nwb,103,73
S33_220421.nwb,74,32
S33_220422.nwb,60,31
S33_220425.nwb,70,28
S33_220426.nwb,60,14
S33_220428.nwb,72,0
S34_220614.nwb,10,42
S34_220615.nwb,63,34
S34_220616.nwb,76,49
S34_220617.nwb,77,34
S34_220620.nwb,0,34
S34_220621.nwb,29,66
S34_220623.nwb,54,50
